entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"COMPROBANTEDECAJA","Comprobante de movimientos de caja","Comprobante de movimientos de caja","","",7.00,0,0,T,"E",2,"Ent_ComprobanteDeFondos","ComprobanteDeFondos",1,"",T,T,"CTXD","038","B","This.cComprobante + " " + This.Letra + " " + transform( This.PuntoDeVenta, "@LZ 9999" ) + "-" + transform( This.Numero, "@LZ 99999999" )","",""
"COMPROBANTEDERETENCIONES","Comprobante de retención de ingresos brutos","Comprobante de retención de ingresos brutos","","TipoImp= 'IIBB'",7.00,0,0,T,"E",2,"Ent_ComprobanteDeRetencionesBase","ComprobanteDeRetencionesBase",1,"",T,T,"CTXD","CDR","B","","",""
"COMPROBANTEDERETENCIONESGANANCIAS","Comprobante de retención de ganancias","Comprobante de retención de ganancias","","TipoImp= 'GANANCIAS'",7.00,0,0,T,"E",2,"Ent_ComprobanteDeRetencionesBase","ComprobanteDeRetencionesBase",1,"",T,T,"TXD","CRG","B","","",""
"COMPROBANTEDERETENCIONESIVA","Comprobante de retención de IVA","Comprobante de retención de IVA","","TipoImp= 'IVA'",7.00,0,0,T,"E",2,"Ent_ComprobanteDeRetencionesBase","ComprobanteDeRetencionesBase",1,"",T,T,"TXD","CRI","B","","",""
"COMPROBANTEDERETENCIONESSUSS","Comprobante de retención de seguridad social","Comprobante de retención de SUSS","","TipoImp= 'SUSS'",7.00,0,0,T,"E",2,"Ent_ComprobanteDeRetencionesBase","ComprobanteDeRetencionesBase",1,"",T,T,"TXD","CRS","B","","",""
"COMPROBANTEDERETENCIONRECIBIDO","Comprobante de retención recibido","Comprobante de retención recibido","","",7.00,0,0,T,"E",2,"","",1,"",T,T,"CTXD","CRR","B","transform( This.NumeroInterno, "@LZ 99999999" )","",""
"COMPROBANTEPAGO","Otros pagos","Otros pagos","","",7.00,0,0,T,"E",2,"ENT_COMPROBANTEDECOMPRASCONVALORES","ComprobanteDeComprasConValores",1,"",T,T,"CTXD","COP","B","","",""
"CONCEPTOCAJA","Conceptos","Conceptos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","037","B","","",""
"CONCEPTOENTIDADFINANCIERA","Concepto de entidades financieras","Concepto de entidades financieras","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CEF","B","","",""
"CONCEPTOLIQUIDACIONTARJETA","Conceptos de liquidación de tarjetas","Conceptos de liquidación de tarjetas","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","CLT","B","","",""
"CONCEPTOPAGO","Conceptos de otros pagos","Conceptos de otros pagos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","CPA","B","","",""
"CONCILIACIONDECAJA","Ajuste de movimientos y saldos de caja según comprobantes","Ajuste de movimientos y saldos de caja según comprobantes","","",7.00,0,0,T,"E",2,"","",0,"",T,F,"","CCJ","B","","",""
"CONCILIACIONES","Conciliaciones","Conciliaciones","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","COB","B","","",""
"CONDICIONDEPAGOENCOMPROBANTE","Condición de pago","Condición de pago","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","ECP","B","","",""
"CONDICIONIMPO","Condiciones de exclusión","Condiciones de exclusión","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"T","CON","B","","",""
"CONFIGURACIONARTICULOECOMMERCE","Categorías, etiquetas y dimensiones ecommerce","Categorías etiquetas y dimensiones ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CED","B","","",""
"CONFIRMACIONFECHAVTOMIPYME","Confirmar fecha de vencimiento MiPyME","Confirmar fecha de vencimiento MiPyME","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CFV","B","","",""
