entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"IMPDIRCCC","Imputación de concepto de otros pagos a centro de costos","Imputación de concepto de otros pagos a centro de costos","E","ent_ImputacionDirectaBase","",T
"APERTURAEJERCICIO","Apertura de ejercicio","Apertura de ejercicio","E","","",T
"ASIENTOSPERIODICOS","Asientos periódicos","Asientos periódicos","E","","",T
"ITEMTARJETASICARD","Items de tarjetas para dispositivo ICard","","I","","",F
"ITEMAUTORIZICARD","Items de autorizadores para dispositivo ICard","","I","","",F
"ENTREGADEMERCADERIAS","Entrega de mercaderías","Entrega de mercaderías","E","","",T
"ITEMREMITOS","Item de remitos","Item de remitos","I","","",T
"ITEMTARJETASLAPOS","Items de tarjetas para dispositivo LaPos","","I","","",F
"ITEMPLANESLAPOS","Items de planes para dispositivo LaPos","","I","","",F
"CLIENTEECOMMERCE","Clientes ecommerce","Clientes ecommerce","E","","",T
"COMPROBANTESECOMMERCE","Herramienta de generación de comprobantes ecommerce","Herramienta de generación de comprobantes ecommerce","E","","",T
"ECOMMERCE","Plataformas de ecommerce","Plataformas","E","","",T
"OPERACIONECOMMERCE","Operaciones ecommerce","Operaciones ecommerce","E","","Comprobante",T
"ITEMOPERACIONESECOM","Item de operación ecommerce","Item de operación ecommerce","I","","",F
"ITEMPUBLICACIONECOM","Item de publicaciones ecommerce","Item de publicaciones ecommerce","I","","",F
"PUNTOSDEVENTA","Diferenciación de puntos de venta por comprobante","Diferenciación de puntos de venta por comprobante","E","","",T
"SERVICIOREST","Servicio REST API","Servicio REST API","E","","",T
"CLAVESECRETAREST","Cliente REST API","Cliente REST API","E","","",T
"ITEMDOMINIOSCORS","Dominios a habilitar CORS en servicios","Dominios a habilitar CORS en servicios","I","","",F
"DatosAdicionalesSIPRIB","IIBB Santa Fe SIPRIB - Datos adicionales","IIBB Santa Fe SIPRIB - Datos adicionales","E","","",T
"ARTICULOINCISODATOSADICIONALESSIPRIB","Articulo inciso datos adicionales SIPRIB","Articulo inciso datos adicionales SIPRIB","E","","",F
"ITEMDISPMOVILPOINT","Items de dispositivos móviles","","I","","",F
"ITEMSERIALPOINT","Items de números de series de lectores","","I","","",F
"AGRUPALISTADOSPERSONALIZADOS","Agrupamiento de listados personalizados","Agrupamiento de listados personalizados","E","","",T
"ITEMREFERENCIAALISTADO","Referencia a listados perzonalizados","Referencia a listados personalizados","I","","",F
"REPORTEAUDITORIACIERREZ","Reporte de auditoría de cierre  Z","Reporte de auditoría de cierre Z","E","","",T
"MOTIVODESCUENTOYDEVOLUCION","Motivos de descuento y devolución","Motivos de descuento y devolución","E","","",T
"CODIGOAUTORIZACIONDJCP","Código de autorización de DJCP","Códigos de autorización de DJCP MECON Resolución 404 E/2016","E","","",T
"ITEMAUTORIZACIONDJCP","Valores de autorización de DJCP","Valores de códigos de autorización de DJCP","I","","",F
"ITEMDENOMINACIONES","Item de denominaciones de monedas","Item de denominaciones de monedas","I","","",F
"ARQUEODECAJA","Arqueo de caja","Arqueo de caja","E","","Comprobante",T
"ITEMTOTALPORGRUPO","Item total por grupo del arqueo de caja","Item total por grupo del arqueo de caja","I","","",F
"ITEMRECEFECTIVO","Item arqueo efectivo por denominacion","Item arqueo efectivo por denominacion","I","","",F
"ITEMARQUEOOTROS","Item arqueo de otros","Item arqueo de otros","I","","",F
"ITEMDESCUENTO","Item de descuento","Item de descuentos","I","","",F
"CODIGODESERVICIO","Código de servicio","Código de servicio","E","","",T
"TIPODEORDEN","Tipo de orden","Tipo de orden","E","","",T
"ESTADOSDEINTERACCION","Estados de interacción","Estados de interacción","E","","",T
"INTERACCIONDEORDEN","Interacción de orden de servicio","Interacción de orden de servicio","E","","",T
"ENTIDADADICIONAL1","Entidad adicional 1","Entidad adicional 1","E","","",T
"ENTIDADADICIONAL2","Entidad adicional 2","Entidad adicional 2","E","","",T
"ENTIDADADICIONAL3","Entidad adicional 3","Entidad adicional 3","E","","",T
"ORDENDESERVICIO","Orden de servicio","Orden de servicio","E","","",T
"ITEMCODSERV","Item de código de servicio","Item de código de servicio","I","","",F
"ITEMINTERACCION","Item de interacción","Item de interacción","I","","",F
"SELECCIONORDENDESERVICIO","Seleccion de órdenes de servicio","Seleccion de órdenes de servicio","E","","",T
"ITEMORDENDESERVICIO","Item de órdenes de servicio","Item de órdenes de servicio","I","","",F
"ERRORSAP","Equivalencia - errores de Interfaz Sap","Equivalencia - errores de Interfaz Sap","E","","",T
"INCONSISTENCIASAP","Inconsistencias en comprobantes - Interfaz SAP","Inconsistencias en comprobantes - Interfaz SAP","E","","",T
"SELECCIONOPERACIONECOMMERCE","Nuevo filtrado","Nuevo filtrado","E","","",T
"GESTIONVENDEDOR","Asignación de vendedor a base de datos","Asignación de vendedor a base de datos","E","","",T
"FILTRARCOMPROBANTESACONTROLAR","Comprobantes a controlar","Comprobantes a controlar","E","","",T
"ITEMPREPMPICKING","Item preparación de mercadería","Item preparación de mercadería","I","","",F
"COTIZACION","Carga de nueva cotización","Nueva cotización","E","ent_virtual","",T
"EMAILENCOMPROBANTE","Email","Email","E","","",T
"SELECCIONCOMPROBANTEASOCIADO","Selección comprobante asociado","Selección comprobante asociado","E","","",T
"FACTURAELECTRONICADECREDITO","Factura de crédito electrónica MiPyME de venta","Factura de crédito electrónica MiPyME de venta","E","EntColorYTalle_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"NOTADECREDITOELECTRONICADECREDITO","Nota de crédito electrónica MiPyME de venta","Nota de crédito electrónica MiPyME de venta","E","EntColorYTalle_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"NOTADEDEBITOELECTRONICADECREDITO","Nota de débito electrónica MiPyME de venta","Nota de débito electrónica MiPyME de venta","E","EntColorYTalle_ComprobanteElectronicoNacional","ComprobanteElectronico",T
"CONFIRMACIONFECHAVTOMIPYME","Confirmar fecha de vencimiento MiPyME","Confirmar fecha de vencimiento MiPyME","E","","",T
"NUEVOENTREGAONLINE","Nuevo Remito de venta en base a Pendientes de entrega","Nuevo Remito de venta en base a Pendientes de entrega","E","","",T
"Selecciondisenoimportacion","Selección de diseño de importación","Selección de diseño de importación","E","ent_virtual","",T
"EnvioDeMensajeria","Envío de mensajería a eCommerce","Envío de mensajería a eCommerce","E","","",T
"DATOSTAREAPROGRAMADAECOMMERCE","Parámetros tarea programada ecommerce","Tarea programada diaria ecommerce","E","","",T
"ITEMPLATAFORMAS","Item de operación ecommerce","Item de operación ecommerce","I","","",F
"ITEMPARTICIPANTES","Item de participantes de un kit","Item de participantes de un kit","I","","",F
"ITEMKITS","Item de kits","Item de kits","I","Kits","",F
"ITEMCHEQUEHISTORIAL","Item de historial de interacciones de cheques","Item de historial de interacciones de cheques","I","","",F
"VALORESENTRANSITO","Valores en tránsito","Valores en tránsito","E","","",T
"ITEMVALORESENTRANSITO","Items de valores para movimientos de caja","","I","","",F
"CONFIRMACIONVALORESENTRANSITO","Confirmar acción para valores en tránsito","Confirmar acción para valores en tránsito","E","","",T
"DATOSTRANSACCIONBANCARIA","Datos de transacción bancaria","Datos de transacción bancaria","E","","",T
"REGISTRODECUENTA","Registros conciliables","Registros conciliables","E","","",T
"TRANSFERENCIAENTRECUENTAS","Transferencia entre cuentas bancarias","Transferencia entre cuentas bancarias","E","","",T
"COMPLETARDATOSREGISTRO","Completar datos de cuentas bancarias","Completar datos de cuentas bancarias","E","","",T
"ITEMDATOSREGISTRO","Item de datos de cuenta bancaria","Item de datos de cuenta bancaria","I","","",F
"CONCEPTOENTIDADFINANCIERA","Concepto de entidades financieras","Concepto de entidades financieras","E","","",T
"MOVIMIENTOBANCARIO","Movimientos bancarios","Movimientos bancarios","E","","",T
"CONCILIACIONES","Conciliaciones bancarias","Conciliaciones bancarias","E","","",T
"ITEMMOVBANCARIOS","Item de movimientos bancarios","Item de movimientos bancarios","I","","",F
"ITEMREGCONCILIABLES","Item de registros conciliables","Item de registros conciliables","I","","",F
"HERRAMIENTACONCILIACION","Herramienta de conciliación bancaria","Herramienta de conciliación bancaria","E","","",T
"ITEMMOVBANCARIOSTOOL","Item de movimientos bancarios","Item de movimientos bancarios","I","","",F
