entidad,componente
"FACTURAELECTRONICADECREDITO","RegistroLiquidacionConsignaciones"
"FACTURAELECTRONICADECREDITO","SENIAS"
"FACTURAELECTRONICADECREDITO","SERVICIOSALCLIENTE"
"FACTURAELECTRONICAEXPORTACION","DESCUENTOS"
"FACTURAELECTRONICAEXPORTACION","FacturacionElectronicaExportacion"
"FACTURAELECTRONICAEXPORTACION","LimitesDeConsumo"
"FINALDEPRODUCCION","FINALDEPRODUCCION"
"GESTIONDEPRODUCCION","GESTIONDEPRODUCCION"
"HERRAMIENTACONCILIACION","ConciliacionesCheques"
"INTERACCIONDEORDEN","SERVICIOSALCLIENTE"
"ITEMARTICULOSCANCOMPRA","PRECIOS"
"ITEMARTICULOSCANCOMPRA","STOCK"
"ITEMARTICULOSCOMPRA","PRECIOS"
"ITEMARTICULOSCOMPRA","STOCK"
"ITEMARTICULOSNCCOMPRA","PRECIOS"
"ITEMARTICULOSNCCOMPRA","STOCK"
"ITEMARTICULOSNDCOMPRA","PRECIOS"
"ITEMARTICULOSNDCOMPRA","STOCK"
"ITEMARTICULOSPEDCOMPRA","PRECIOS"
"ITEMARTICULOSPEDCOMPRA","STOCK"
"ITEMARTICULOSPRECOMPRA","PRECIOS"
"ITEMARTICULOSREMCOMPRA","PRECIOS"
"ITEMARTICULOSREMCOMPRA","STOCK"
"ITEMARTICULOSREQCOMPRA","PRECIOS"
"ITEMARTICULOSSENIADOS","PRECIOS"
"ITEMARTICULOSSOLCOMPRA","PRECIOS"
"ITEMARTICULOSVENTAS","GIFTCARD"
"ITEMARTICULOSVENTAS","PRECIOS"
"ITEMARTICULOSVENTAS","STOCK"
"ITEMCANJECUPONES","CAJERO"
"ITEMDESCARGACHEQUE","DESCARGADECHEQUES"
"ITEMIMPUESTOORDENDEPAGO","Retenciones"
"ITEMKITS","PRECIOS"
"ITEMKITS","STOCK"
"ITEMMERCENTRANSITO","STOCK"
"ITEMMODCOSTOPROD","CostosProduccion"
"ITEMMODIFICACIONPRECIOS","PRECIOS"
"ITEMMOVMER","PRECIOS"
"ITEMMOVMER","STOCK"
"ITEMMOVSTOCK","STOCK"
"ITEMMSTOCKAINV","STOCKPRODUCCION"
"ITEMMSTOCKAPROD","STOCK"
"ITEMMSTOCKAPROD","STOCKPRODUCCION"
"ITEMMSTOCKDESDEPROD","STOCKPRODUCCION"
"ITEMORDENDEPAGO","CuentaCorrienteOrdenDePagoCompras"
"ITEMPAGO","CuentaCorrientePagoCompras"
"ITEMPAGOVALORES","CAJERO"
"ITEMRECIBO","CTACTEITEMRECIBO"
"ITEMRETENCIONRECIBO","RetencionesRecibidas"
"ITEMSENIAS","STOCK"
"ITEMVALORES","CAJERO"
"ITEMVALORESAENT","Cajero"
"ITEMVALORESCAJA","CAJERO"
"ITEMVALORESCOMPRA","CAJERO"
"ITEMVALORESCOMPROPAGO","CAJERO"
"ITEMVALORESFONDOS","CAJERO"
"ITEMVALORESNCCOMPRA","CAJERO"
"ITEMVALORESNDCOMPRA","CAJERO"
"LIQUIDACIONMENSUAL","CUENTABANCARIALIQUIDACIONMENSUAL"
"MOVIMIENTOSTOCKAINVENT","MOVIMIENTOSTOCKAINVENT"
"MOVIMIENTOSTOCKAPRODUCC","MOVIMIENTOSTOCKAPRODUCC"
"MOVIMIENTOSTOCKDESDEPRODUCC","MOVIMIENTOSTOCKDESDEPRODUCC"
"NOTADECREDITO","DESCUENTOS"
"NOTADECREDITO","DatosAdicionalesComprobantesA"
"NOTADECREDITO","DatosAdicionalesSIRE"
"NOTADECREDITO","LimitesDeConsumo"
"NOTADECREDITO","RegistroLiquidacionConsignaciones"
"NOTADECREDITO","SENIAS"
"NOTADECREDITOAGRUPADA","DESCUENTOS"
"NOTADECREDITOAGRUPADA","DatosAdicionalesComprobantesA"
"NOTADECREDITOAGRUPADA","FacturacionElectronica"
"NOTADECREDITOAGRUPADA","LimitesDeConsumo"
"NOTADECREDITOAGRUPADA","RegistroLiquidacionConsignaciones"
"NOTADECREDITOAGRUPADA","Senias"
"NOTADECREDITODECOMPRA","DatosAdicionalesSIRE"
"NOTADECREDITODEEXPORTACION","DESCUENTOS"
"NOTADECREDITODEEXPORTACION","LimitesDeConsumo"
"NOTADECREDITODEEXPORTACION","Senias"
"NOTADECREDITOELECTRONICA","DESCUENTOS"
"NOTADECREDITOELECTRONICA","DatosAdicionalesComprobantesA"
"NOTADECREDITOELECTRONICA","DatosAdicionalesSIRE"
"NOTADECREDITOELECTRONICA","FacturacionElectronica"
"NOTADECREDITOELECTRONICA","LimitesDeConsumo"
"NOTADECREDITOELECTRONICA","RegistroLiquidacionConsignaciones"
"NOTADECREDITOELECTRONICA","SENIAS"
"NOTADECREDITOELECTRONICADECREDITO","DESCUENTOS"
"NOTADECREDITOELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"NOTADECREDITOELECTRONICADECREDITO","DatosAdicionalesSIRE"
"NOTADECREDITOELECTRONICADECREDITO","FacturacionElectronica"
"NOTADECREDITOELECTRONICADECREDITO","LimitesDeConsumo"
"NOTADECREDITOELECTRONICADECREDITO","RegistroLiquidacionConsignaciones"
"NOTADECREDITOELECTRONICADECREDITO","SENIAS"
"NOTADECREDITOELECTRONICAEXPORTACION","DESCUENTOS"
"NOTADECREDITOELECTRONICAEXPORTACION","FacturacionElectronicaExportacion"
"NOTADECREDITOELECTRONICAEXPORTACION","LimitesDeConsumo"
"NOTADEDEBITO","DESCUENTOS"
"NOTADEDEBITO","DatosAdicionalesComprobantesA"
"NOTADEDEBITO","LimitesDeConsumo"
"NOTADEDEBITOAGRUPADA","DESCUENTOS"
"NOTADEDEBITOAGRUPADA","DatosAdicionalesComprobantesA"
"NOTADEDEBITOAGRUPADA","FacturacionElectronica"
"NOTADEDEBITOAGRUPADA","LimitesDeConsumo"
"NOTADEDEBITODEEXPORTACION","DESCUENTOS"
"NOTADEDEBITODEEXPORTACION","LimitesDeConsumo"
"NOTADEDEBITODEEXPORTACION","Senias"
"NOTADEDEBITOELECTRONICA","DESCUENTOS"
"NOTADEDEBITOELECTRONICA","DatosAdicionalesComprobantesA"
"NOTADEDEBITOELECTRONICA","FacturacionElectronica"
"NOTADEDEBITOELECTRONICA","LimitesDeConsumo"
"NOTADEDEBITOELECTRONICADECREDITO","DESCUENTOS"
"NOTADEDEBITOELECTRONICADECREDITO","DatosAdicionalesComprobantesA"
"NOTADEDEBITOELECTRONICADECREDITO","FacturacionElectronica"
"NOTADEDEBITOELECTRONICADECREDITO","LimitesDeConsumo"
"NOTADEDEBITOELECTRONICAEXPORTACION","DESCUENTOS"
"NOTADEDEBITOELECTRONICAEXPORTACION","FacturacionElectronicaExportacion"
"NOTADEDEBITOELECTRONICAEXPORTACION","LimitesDeConsumo"
"OPERACIONECOMMERCE","Ecommerce"
"ORDENDESERVICIO","SERVICIOSALCLIENTE"
"PEDIDO","DESCUENTOS"
"PEDIDO","Ecommerce"
"PRESUPUESTO","DESCUENTOS"
"PROVEEDOR","DatosAdicionalesSIPRIB"
"REMITO","DESCUENTOS"
"REMITO","Ecommerce"
"REMITO","SERVICIOSALCLIENTE"
"RENUMERAASIENTOS","Asiento"
"TICKETFACTURA","DESCUENTOS"
"TICKETFACTURA","DatosAdicionalesComprobantesA"
"TICKETFACTURA","Ecommerce"
"TICKETFACTURA","LimitesDeConsumo"
"TICKETFACTURA","SENIAS"
"TICKETFACTURA","SERVICIOSALCLIENTE"
"TICKETNOTADECREDITO","DESCUENTOS"
"TICKETNOTADECREDITO","DatosAdicionalesComprobantesA"
"TICKETNOTADECREDITO","DatosAdicionalesSIRE"
"TICKETNOTADECREDITO","LimitesDeConsumo"
"TICKETNOTADECREDITO","RegistroLiquidacionConsignaciones"
"TICKETNOTADECREDITO","SENIAS"
"TICKETNOTADEDEBITO","DESCUENTOS"
"TICKETNOTADEDEBITO","DatosAdicionalesComprobantesA"
"TICKETNOTADEDEBITO","LimitesDeConsumo"
"TRANSFERENCIAENTRECUENTAS","CUENTABANCARIATRANSFERENCIA"
"Ticketfactura","RegistroLiquidacionConsignaciones"
"disenoImpresion","disenoImpresion"
