id,idnodo,parametro,tipodato,default,organizacion,puesto,sucursal,ayuda,version_exe,version_zoo,version_cli,paramint,paramusu,exe,longitud,decimales,idnodocliente,dominio,opciones,idunico
47,3,"Alta de Servicio Contrato Default","C","03",3,1,2,"Contrato sugerido en el alta de servicios",0.00,0,0,"AltaDeServicioContratoDefault","Alta de Servicio Contrato Default",T,2,0,1,"","","1FFD774C81762714D3A1BF8E11268088382101"
54,3,"Transferencia De Datos FTP Sugerida","N","1",2,1,3,"Transferencia De Datos FTP Sugerida en servidores comunicaciones (1: BINARIA - 2: ASCII)",0.00,0,0,"TransferenciaDeDatosFtpSugerida","Transferencia De Datos FTP Sugerida en servidores comunicaciones",T,1,0,1,"","","15E6B00F2109D314E961943A15151821745941"
56,3,"Nro Serie Sugerido Default","C","",3,1,2,"Numero de Serie Sugerido Para default",0.00,0,0,"NroSerieSugeridoDefault","Nro Serie Sugerido Default",T,10,0,1,"","","1DA3B45E21B5901467F18A6319028673983001"
57,3,"Cliente Sugerido IS","C","",3,1,2,"",0.00,0,0,"ClienteSugeridoIs","Cliente Sugerido IS",T,10,0,1,"","","13D98EE011600F14EE21959B16991058177201"
60,3,"Contacto Predeterminado En Baja De Items Por Deudores Incobrables","C","",1,0,0,"Contacto Predeterminado En Baja De Items Por Deudores Incobrables",0.00,0,0,"ContactoPredeterminadoEnBajaDeItemsPorDeudoresIncobrables","Contacto Predeterminado En Baja De Items Por Deudores Incobrables",T,5,0,1,"TEXTOMINMAY","","15EDAA23D187091497E1B2AA12143272373261"
61,3,"Motivo De Baja De Deudores Incobrables","C","12",1,0,0,"Motivo De Baja De Deudores Incobrables predeterminado",0.00,0,0,"MotivoDeBajaDeDeudoresIncobrables","Motivo De Baja De Deudores Incobrables",T,2,0,1,"TEXTOMINMAY","","191A417731EC8D141311845A17191594048181"
62,3,"Ruta default XLS de facturacion","C","",0,1,0,"Indica la ruta del xls que se sugiere al momento de la facturacion",0.00,0,0,"RutaDefaultXlsDeFacturacion","Ruta default XLS de facturacion",T,100,0,1,"","","1DBD0ACFD1CC46142DA1A49711678078594611"
63,3,"Comando Generacion Llaves","C","T:\Llaves\zoo_llaves.exe _3DK11HQ4F",1,0,0,"Indica la ubicacion del Exe para generar las llaves de e-lince",0.00,0,0,"ComandoGeneracionLlaves","Comando Generacion Llaves",T,100,0,200,"","","1D9FA4E741754714EAC1B5C414555986463601"
66,3,"Numero de Oportunidad para Cierre","N","0",0,1,0,"",0.00,0,0,"NumeroDeOportunidadParaCierre","Numero de Oportunidad para Cierre",T,9,0,1,"","","1BBE48CF91009F14E641B3C414030170342901"
81,3,"Cliente Sugerido desde alta de Items de Servicio Para Alta de Series","C","""",0,1,0,"Cliente Sugerido desde alta de Items de Servicio Para Alta de Series (Se utiliza para filtrar domicilios enalta de series)",0.00,0,0,"ClienteSugeridoDesdeAltaDeItemsDeServicioParaAltaDeSeries","ClienteSugeridoDesdeAltaDeItemsDeServicioParaAltaDeSeries",T,5,0,230,"","","1E67A03011EFDD14B441841213610291258821"
82,3,"Cliente Sugerido desde alta de Oportunidades Para Alta de Presupuestos","C","""",0,1,0,"Cliente Sugerido desde alta de Oportunidades Para Alta de Presupuestos",0.00,0,0,"ClienteSugeridoDesdeAltaDeOportunidadesParaAltaDePresupuestos","ClienteSugeridoDesdeAltaDeOportunidadesParaAltaDePresupuestos",T,5,0,230,"","","14C19433912DB014E981AD6319225325216301"
86,3,"EntidadContactosOrigenClienteSugerido","C","",0,1,0,"Se almacena el nombre del parametro del cual se sugerira el cliente al hacer Nuevo en la entidad Contactos.",0.00,0,0,"Entidadcontactosorigenclientesugerido","EntidadContactosOrigenClienteSugerido",T,100,0,230,"","","10508956413C67141B8184D716241192701471"
87,3,"EntidadTareaOrigenClienteSugerido","C","",0,1,0,"",0.00,0,0,"Entidadtareaorigenclientesugerido","EntidadTareaOrigenClienteSugerido",T,100,0,230,"","","1C77CE54C17A6314D131A79E15519222037641"
88,3,"Clientesugeridodesdealtadeeventosparaaltadetarea","C","",0,1,0,"",0.00,0,0,"Clientesugeridodesdealtadeeventosparaaltadetarea","Clientesugeridodesdealtadeeventosparaaltadetarea",T,100,0,230,"","","1041297301F104143F119DAE19898985128181"
89,3,"RazonSocialsugeridodesdealtadeeventosparaaltadetarea","C","",0,1,0,"",0.00,0,0,"RazonSocialsugeridodesdealtadeeventosparaaltadetarea","RazonSocialsugeridodesdealtadeeventosparaaltadetarea",T,5,0,230,"","","1D8C6C3791BBAD14A7F19A6914946896280901"
90,3,"EntidadTareaOrigenRazonSocialSugerido","C","",0,1,0,"",0.00,0,0,"Entidadtareaorigenrazonsocialsugerido","EntidadTareaOrigenRazonSocialSugerido",T,5,0,230,"","","1E48C4E701627314A32195F812306648846031"
91,3,"Clientesugeridodesdealtadepresupuestoparaaltadecontacto","C","",0,1,0,"",0.00,0,0,"Clientesugeridodesdealtadepresupuestoparaaltadecontacto","Clientesugeridodesdealtadepresupuestoparaaltadecontacto",T,5,0,230,"","","1CAB4DE85105A6148E11AD8610663422846101"
92,3,"ClienteSugeridoDesdeAltaDeItemsDeServicioParaAltaDeContactos","C","",0,1,0,"ClienteSugeridoDesdeAltaDeItemsDeServicioParaAltaDeContactos",0.00,0,0,"Clientesugeridodesdealtadeitemsdeservicioparaaltadecontactos","ClienteSugeridoDesdeAltaDeItemsDeServicioParaAltaDeContactos",T,5,0,230,"","","11E32768818C3C1463919F5514268303141751"
93,3,"ClienteSugeridoDesdeBajaDeItemsDeServicioParaAltaDeContactos","C","",0,1,0,"ClienteSugeridoDesdeBajaDeItemsDeServicioParaAltaDeContactos",0.00,0,0,"Clientesugeridodesdebajadeitemsdeservicioparaaltadecontactos","ClienteSugeridoDesdeBajaDeItemsDeServicioParaAltaDeContactos",T,5,0,230,"","","1D883D5631F0DE149A21A29518363317937761"
94,3,"ClienteSugeridoDesdeAltaDePresupuestoIYDParaAltaDeContacto","C","",0,1,0,"ClienteSugeridoDesdeAltaDePresupuestoIYDParaAltaDeContacto",0.00,0,0,"ClienteSugeridoDesdeAltaDePresupuestoIYDParaAltaDeContacto","ClienteSugeridoDesdeAltaDePresupuestoIYDParaAltaDeContacto",T,5,0,230,"","","1F4635B141B2B514B9E19B6516774629248901"
95,3,"IssueSugeridoDesdeEvaluacionDeIssuesParaAltaDeBugs","N","",0,1,0,"Issue Sugerido Desde Evaluacion De Issues Para Alta De Bugs",0.00,0,0,"Issuesugeridodesdeevaluaciondeissuesparaaltadebugs","Issue Sugerido Desde Evaluacion De Issues Para Alta De Bugs",T,10,0,230,"","","10A9FB4901A98B144EA18BDB10749857963431"
96,3,"EntidadIYDBugsOrigenIssueSugerido","C","",0,1,0,"EntidadIYDBugsOrigenIssueSugerido",0.00,0,0,"Entidadiydbugsorigenissuesugerido","Entidad IYDBugs Origen Issue Sugerido",T,100,0,230,"","","1666BBC601F91214AEC1BBCB15058420344201"
97,3,"ClienteSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto","C","",0,1,0,"ClienteSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto",0.00,0,0,"Clientesugeridodesdealtadeoportunidadcomercialparaaltadecontacto","ClienteSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto",T,5,0,230,"","","1BE6A44011A22E1420118DE611305463121431"
98,3,"SerieSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio","C","",0,1,0,"SerieSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio",0.00,0,0,"Seriesugeridodesdealtamdatareasmdaparaaltadehojadeservicio","SerieSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio",T,7,0,230,"","","1176F92681ED87146831842212311052003541"
99,3,"EntidadHojaDeServicioOrigenNroSerieSugerido","C","",0,1,0,"EntidadHojaDeServicioOrigenNroSerieSugerido",0.00,0,0,"Entidadhojadeservicioorigennroseriesugerido","EntidadHojaDeServicioOrigenNroSerieSugerido",T,254,0,230,"","","13569EB0C140AD14D2B1A2CD13641378586231"
100,3,"ContactoSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio","C","",0,1,0,"ContactoSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio",0.00,0,0,"Contactosugeridodesdealtamdatareasmdaparaaltadehojadeservicio","ContactoSugeridoDesdeAltaMDATareasMDAParaAltaDeHojaDeServicio",T,7,0,230,"","","149F7BA461A79D14E4E19A7D11272563853001"
101,3,"EntidadHojaDeServicioOrigenContactSugerido","C","",0,1,0,"EntidadHojaDeServicioOrigenContactSugerido",0.00,0,0,"Entidadhojadeservicioorigencontactsugerido","EntidadHojaDeServicioOrigenContactSugerido",T,7,0,230,"","","1EED3920B1E7B51456919DEF14834729709871"
102,3,"MontoMinimoParaSuspenderRazonSocial","N","100",1,0,0,"Monto Minimo de Deuda Para Suspender Razon Social",0.00,0,0,"Montominimoparasuspenderrazonsocial","Monto Minimo de Deuda Para Suspender Razon Social",T,10,2,1,"","","134DCD0A31440B14DF919E6519935871264391"
103,3,"ProyectoSugeridoDesdePriorizacionDeProyectosASeguimiento","N","",0,1,0,"ProyectoSugeridoDesdePriorizacionDeProyectosASeguimiento",0.00,0,0,"ProyectoSugeridoDesdePriorizacionDeProyectosASeguimiento","ProyectoSugeridoDesdePriorizacionDeProyectosASeguimiento",T,10,0,230,"","","1E79426EB1579B148411BB3511547377320441"
104,3,"ProyectoSugeridoDesdePriorizacionDeProyectosAGradoDeAvance","N","",0,1,0,"ProyectoSugeridoDesdePriorizacionDeProyectosAGradoDeAvance",0.00,0,0,"ProyectoSugeridoDesdePriorizacionDeProyectosAGradoDeAvance","ProyectoSugeridoDesdePriorizacionDeProyectosAGradoDeAvance",T,9,0,230,"","","117BE938718A441440C1A3BA12996084104101"
105,3,"ClienteSugeridoDesdeInteraccionConClienteParaAltaDeContactos","C","",0,1,0,"ClienteSugeridoDesdeInteraccionConClienteParaAltaDeContactos",0.00,0,0,"Clientesugeridodesdeinteraccionconclienteparaaltadecontactos","ClienteSugeridoDesdeInteraccionConClienteParaAltaDeContactos",T,5,0,1,"","","1C70C953612383147801BD9116258492054381"
106,3,"Ubicación de SeriesVersionZooPers.zoo","C","\\server03\zoologic\elince\zoo2009\archivos",1,0,0,"Ubicación de SeriesVersionZooPers.zoo",0.00,0,0,"UbicacionDeSeriesversionzoopersZoo","Ubicación de SeriesVersionZooPers.zoo",T,254,0,200,"","","10F19EF7A10EF4146EC19AF819726789226861"
107,3,"Ruta del certificado","C","",0,0,1,"Ruta del archivo del certificado",0.00,0,0,"RutaDelCertificado","Ruta del certificado",T,200,0,1,"","","1DBD3B1301E90014DD81A72615415194831641"
111,3,"EntidadContactosOrigenEmailSugerido","C","",0,1,0,"Se almacena el nombre del parametro del cual se sugerira el email al hacer Nuevo en la entidad Contactos",0.00,0,0,"Entidadcontactosorigenemailsugerido","EntidadContactosOrigenEmailSugerido",T,100,0,1,"","","1799DE25610E3B14B2218CCF10496160288701"
112,3,"EmailSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto","C","",0,1,0,"EmailSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto",0.00,0,0,"Emailsugeridodesdealtadeoportunidadcomercialparaaltadecontacto","EmailSugeridoDesdeAltaDeOportunidadComercialParaAltaDeContacto",T,100,0,1,"","","14495099A126E81487618C3D17558741815801"
10,4,"Ruta de destino local para los IMM","C","",1,2,3,"Ruta de destino para los archivos recibidos por FTP del Checkline",0.00,0,0,"RutaDeDestinoLocalParaLosImm","Ruta de destino local para los IMM",T,100,0,220,"","","13FB514421476314F84198B518103193101011"
11,4,"E-MAIL - Servidor 1 - Host SMTP","C","smtp.zoologic3.com.ar",1,2,3,"Host SMTP para el servidor 1",0.00,0,0,"EMailServidor1HostSmtp","E-MAIL - Servidor 1 - Host SMTP",T,50,0,220,"","","19DAAED4C1EE1D14B1F186BE10829023219301"
12,4,"E-MAIL - Servidor 1 - nombre de inicio de sesión de SMTP","C","",1,2,3,"Nombre de usuario para el inicio de sesión al servidor SMTP",0.00,0,0,"EMailServidor1NombreDeInicioDeSesionDeSmtp","E-MAIL - Servidor 1 - nombre de inicio de sesión de SMTP",T,50,0,220,"","","17CD9CA8C17CFC149C119E2113922448343131"
13,4,"E-MAIL - Servidor 1 - contraseña de inicio de sesión de SMTP","C","",1,2,3,"Contraseña de usuario para el inicio de sesión al servidor SMTP",0.00,0,0,"EMailServidor1ContrasenaDeInicioDeSesionDeSmtp","E-MAIL - Servidor 1 - contraseña de inicio de sesión de SMTP",T,50,0,220,"","","128B7F46A1753914F631B3D815659469245551"
14,4,"E-MAIL - Servidor 1 - usa autenticación","L",".t.",1,2,3,"Indica si el servidor 1 realiza el logueo del usuario y contraseña",0.00,0,0,"EMailServidor1UsaAutenticacion","E-MAIL - Servidor 1 - usa autenticación",T,0,0,220,"","","18CAD50DB11D6E147FE1B70815640165394221"
19,4,"Metodo de envío","N","3",1,2,3,"Metodo de envío de mensajes",0.00,0,0,"MetodoDeEnvio","Metodo de envío",T,1,0,220,"","","1D9F4ADD3115B21432919FD012774326263601"
20,4,"Repetir operacion cada (Seg)","N","60",1,2,3,"Indica cada cuantos segundos se ejecuta el Checkline",0.00,0,0,"RepetirOperacionCadaSeg","Repetir operacion cada (Seg)",T,4,0,220,"","","1EE31353B1177314AAC1849813234897923021"
21,4,"Puerto COM del celular","N","15",1,2,3,"Indica puerto COM para establecer comunicación con el celular",0.00,0,0,"PuertoComDelCelular","Puerto COM del celular",T,2,0,220,"","","1ACCF5E861E336148071AB8813939807947961"
28,4,"Tiempo de espera entre cada envío de SMS (Seg)","N","1",1,2,3,"Indica el tiempo de espera antes de enviar el próximo mensaje SMS",0.00,0,0,"TiempoDeEsperaEntreCadaEnvioDeSmsSeg","Tiempo de espera entre cada envío de SMS (Seg)",T,3,0,220,"","","1ACD14A3C12F2C142D01B77318311088443731"
29,4,"Nombre de cuenta checkline para FTP","C","CHKLINE",1,2,3,"Indica el nombre de la cuenta de Checkline para conectarse al servidor FTP",0.00,0,0,"NombreDeCuentaChecklineParaFtp","Nombre de cuenta checkline para FTP",T,50,0,220,"","","18B686BD716DB3145731810210531257601701"
37,4,"Direcciones de E-Mail para envio de error de ChkLine","C","",1,2,3,"Direcciones de E-Mail a donde se enviarán los errores que se generaron por envío de ChkLine",0.00,0,0,"DireccionesDeEMailParaEnvioDeErrorDeChkline","Direcciones de E-Mail para envio de error de ChkLine",T,250,0,220,"","","1D1BB9AEE1C98914BAC1A6C413524760032921"
38,4,"Activar envío de E-Mail de error","L",".t.",1,2,3,"Activa el envío de E-Mails de error para ChkLine",0.00,0,0,"ActivarEnvioDeEMailDeError","Activar envío de E-Mail de error",T,0,0,220,"","","12D0597D41BF7A1421D1A52310193462432001"
51,4,"Activar Verificacion Checkline","L",".f.",3,1,2,"Activa el servicio de Chekcline",0.00,0,0,"ActivarVerificacionCheckline","Activar Verificacion Checkline",F,0,0,220,"","","121ADA82E163D5148401A78411770526931481"
30,5,"Ruta de destino local para los IMM","C","",1,2,3,"Ruta de destino para los archivos recibidos por FTP del Robot de Host",0.00,0,0,"RutaDeDestinoLocalParaLosImm","Ruta de destino local para los IMM",T,100,0,210,"","","190618B381BEC514530189B616529235158431"
31,5,"Repetir operacion cada (Seg)","N","60",1,2,3,"Indica cada cuantos segundos se ejecuta el Robot Host",0.00,0,0,"RepetirOperacionCadaSeg","Repetir operacion cada (Seg)",T,4,0,210,"","","170064F141D4FF14E4019EFB17857341463391"
32,5,"Nombre de cuenta en servidor FTP","C","HOST",1,2,3,"Es la cuenta que accede a la carpeta de mensajes en el servidor FTP",0.00,0,0,"NombreDeCuentaHostParaFtp","Nombre de cuenta en servidor FTP",T,50,0,210,"","","1237FDCAE1746C145E719BB110483066348601"
53,5,"Activar Verificacion Host","L",".f.",3,1,2,"Activa la Verificación de Robot del Host",0.00,0,0,"ActivarVerificacionHost","Activar Verificacion Host",F,0,0,210,"","","18AE7502B11C41142D61A30E17105566538901"
55,5,"Tarea a realizar con los mensajes (IMM)","N","3",3,1,2,"Tarea a realizar con los mensajes (IMM)",0.00,0,0,"TareaARealizarConLosMensajesImm","Tarea a realizar con los mensajes (IMM)",F,1,0,210,"COMBO","DESCARGAR,PROCESAR,AMBAS","18CFFF4F11644D144EC1B8F316264718717751"
39,6,"Ruta Archivo Tecnovoz","C","c:\Tecnovoz\WSPARMS.ini",0,1,0,"Archivo .Ini que crea Tecnovoz",0.00,0,0,"RutaArchivoTecnovoz","Ruta Archivo Tecnovoz",F,250,0,90,"","","1469295C213FCF146FB1ACBF19944504982381"
40,6,"Numero Linea Serie","N","4",0,1,0,"Nro. de linea donde se encuentra el nro de serie.",0.00,0,0,"NumeroLineaSerie","Numero Linea Serie",F,3,0,90,"","","122CC2F6E1F24414BCC1807611678521109211"
41,6,"Posicion Desde Serie","N","10",0,1,0,"Posición donde comienza el nro. de serie dentro del archivo .ini",0.00,0,0,"PosicionDesdeSerie","Posicion Desde Serie",F,3,0,90,"","","1F121E79010EA214B0919C5A17735455214401"
42,6,"Longitud Numero Serie","N","6",0,1,0,"Cantidad de caracteres que ocupa el nro. de serie en el archivo .INI",0.00,0,0,"LongitudNumeroSerie","Longitud Numero Serie",F,6,0,90,"","","15D7A4DCF19821144DB1A31213405751887281"
43,6,"Numero Linea Referencia","N","14",0,1,0,"Nro. de linea donde se encuentra el nro de referencia.",0.00,0,0,"NumeroLineaReferencia","Numero Linea Referencia",F,14,0,90,"","","104BD293811A9E14E051BF8D19916021303871"
44,6,"Posicion Desde Referencia","N","1",0,1,0,"Posición donde comienza el nro. de referencia dentro del archivo .ini",0.00,0,0,"PosicionDesdeReferencia","Posicion Desde Referencia",F,3,0,90,"","","10C4F6F3918E5F145DF1B76213963127565911"
45,6,"Longitud Numero Referencia","N","10",0,1,0,"Cantidad de caracteres que ocupa el nro. de referencia en el archivo .INI",0.00,0,0,"LongitudNumeroReferencia","Longitud Numero Referencia",F,3,0,90,"","","11DE94D03167D01476219B0714094440756701"
46,6,"Ruta Archivo Puesto","C","c:\Tecnovoz\Tmp",0,1,0,"Ruta donde se encuentra el archivo que es generado por Tecnovoz",0.00,0,0,"RutaArchivoPuesto","Ruta Archivo Puesto",F,250,0,90,"","","134DC80431A045141971BD1B15432654811381"
67,6,"Numero Linea Razon Social","N","4",0,1,0,"Nro. de Linea donde se encuentra el código de Razon Social.",0.00,0,0,"NumeroLineaRazonSocial","Numero Linea Razon Social",F,3,0,90,"","","1EB32F98618311141F618A5C13762520285801"
68,6,"Posicion Desde Razon Social","N","31",0,1,0,"Posición desde donde empieza el código de Razon Social.",0.00,0,0,"PosicionDesdeRazonSocial","Posicion Desde Razon Social",F,3,0,90,"","","1AB225E771D48B14E3319EF012166862032041"
69,6,"Longitud Razon Social","N","5",0,1,0,"Cantidad de caracteres que ocupa el código de Razon Social.",0.00,0,0,"LongitudRazonSocial","Longitud Razon Social",F,3,0,90,"","","171F475A7132C2145C8180BE13596510786111"
70,6,"Segundos Timer Verificar Archivo Tecnovoz","N","0",0,1,0,"Cantidad de Segundos en que el Verifica si hubo cambios en el Archivo Tecnovoz",0.00,0,0,"SegundosTimerVerificarArchivoTecnovoz","Segundos para verificar archivo Tecnovoz",F,3,0,90,"","","1EB3C2BB91370614E3F1BF9210836172608241"
71,6,"Numero Linea Indicador Abre Incidente Automaticamente","N","4",0,1,0,"Numero Linea Indicador Abre Entidad Automaticamente",0.00,0,0,"NumeroLineaIndicadorAbreIncidenteAutomaticamente","Numero Linea Indicador Abre Entidad Automaticamente",F,3,0,90,"","","1B3958245163D8148C31971915803400963301"
74,6,"Indicador Abre Incidente Automaticamente","C","Carga obligatoria de incidente",0,1,0,"Indicador Abre Entidad Automaticamente",0.00,0,0,"IndicadorAbreIncidenteAutomaticamente","Indicador Abre Entidad Automaticamente",F,60,0,90,"","","1A7DECAEB1F2AF146CF1839F12749065925791"
77,6,"Longitud Motivo Abre Incidente Automaticamente","N","60",0,1,0,"Longitud Motivo Abre Entidad Automaticamente",0.00,0,0,"LongitudMotivoAbreIncidenteAutomaticamente","Longitud Motivo Abre Entidad Automaticamente",F,3,0,90,"","","1E9387ADE1F9E614F971894911939262787981"
58,7,"Valor Sugerido para Clasificación de Clientes","C","01",0,1,0,"Valor Sugerido para Clasificación de Clientes",0.00,0,0,"ValorSugeridoParaClasificacionDeClientes","Valor Sugerido para Clasificación de Clientes",T,2,0,9,"TEXTOMINMAY","","17F02129112929145151A85E11637430927681"
59,7,"Valor inicial sugerido para Estado de la Razón Social","C","02",3,1,2,"Valor inicial sugerido para el Estado de la Razón Social al crearla.",0.00,0,0,"ValorInicialSugeridoParaEstadoDeLaRazonSocial","Valor inicial sugerido para Estado de la Razón Social",F,2,0,9,"","","12CAFACBB12CCA143E41BDDF15942150475801"
63,7,"HabilitarActualizacionTablasZoologic","L",".T.",1,0,0,"Habilitar Actualizacion Tablas Zoologic",0.00,0,0,"Habilitaractualizaciontablaszoologic","HabilitarActualizacion Tablas Zoologic",T,0,0,1,"","","10CFA6E3E17ED6145FC18CD612232552023411"
64,7,"Default Clasificacion Horas desarrollo Pivotal","N","",1,0,0,"Default Clasificacion Horas desarrollo Pivotal",0.00,0,0,"DefaultClasificacionHorasDesarrolloPivotal","Default Clasificacion Horas desarrollo Pivotal",F,10,0,9,"","","15668800E11B8C14B631B6D219737433512891"
65,7,"ListaDePreciosParaFacturaDeExportacion","C","",1,0,0,"Lista De Precios Para Factura De Exportación",0.00,0,0,"Listadepreciosparafacturadeexportacion","Lista de precios para Factura de exportación",T,6,0,12,"TEXTOMINMAY","","10311C8F1106B414BB11AF8511956770065061"
78,7,"HerramientadeNormalizaciondeDeuda","L",".T.",1,0,0,"Genera comprobantes en lince para normalizar los medios de pago antes de generar la cobranza",0.00,0,0,"Herramientadenormalizaciondedeuda","Ejecutar Normalización de Deuda antes de cobranza",T,0,0,9,"","","187EB3B5E1706C1421D18C0010469850886401"
79,7,"ListaDePrecioComPresupuestos","C","ZOO009",1,0,0,"Lista de precio para Com-Presupuestos",0.00,0,0,"Listadepreciocompresupuestos","Lista de precio para Com-Presupuestos",T,6,0,12,"TEXTOMINMAY","","17B939A9E1FAA4145321BB2710119270647071"
80,7,"ListaDePreciosPreferente","C","ZOO009",1,0,0,"Lista De Precios General",0.00,0,0,"Listadepreciospreferente","Lista de precios general",T,6,0,12,"TEXTOMINMAY","","1EEC0345D1F79814D0C19E0711167353791381"
108,7,"CantidadMaximaDeHorasValidasDeCargaPorDIa","N","10",1,0,0,"Cantidad máxima de horas válidas de carga por día",0.00,0,0,"Cantidadmaximadehorasvalidasdecargapordia","Cantidad máxima de horas válidas de carga por día",T,2,0,9,"","","1A9827810158AB147B319F0115451743184541"
109,7,"Dias post publicacion de funcionalidad o bug permitidos para carga de horas","N","15",1,0,0,"DiasPostPublicacionDeFuncionalidadOBugPermitidosParaCargaDeHoras",0.00,0,0,"DiasPostPublicacionDeFuncionalidadOBugPermitidosParaCargaDeHoras","Dias post publicacion de funcionalidad o bug permitidos para  carga de horas",T,3,0,9,"","","10C3C4BFB1AAFB14F421848F19295555779771"
110,7,"Dias permitidos despues de finalizado el mes en curso para carga de horas","N","5",1,0,0,"Dias permitidos despues de finalizado el mes en curso para carga de horas",0.00,0,0,"DiasPermitidosDespuesDeFinalizadoElMesEnCursoParaCargaDeHoras","Dias permitidos despues de finalizado el mes en curso para carga de horas",T,3,0,9,"","","1606045C41093B14F0E18BAF12169539454301"
